Age,Attrition,Department,DistanceFromHome,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
22,No,Research & Development,16,,1,22,4,Male,96,4,1,,Divorced,2935,7324,Yes,13,3,2,80,1,2,1,0
53,No,Sales,2,Life Sciences,1,23,1,Female,78,,4,4,Married,15427,22021,No,16,3,3,80,31,3,25,3
38,No,Research & Development,2,Life Sciences,1,24,4,Male,45,3,1,4,Single,3944,4306,Yes,11,3,3,80,6,3,3,1
24,No,Research & Development,11,,1,26,1,,96,4,2,3,Divorced,4011,8232,No,18,3,4,80,5,2,4,1
36,Yes,Sales,9,Life Sciences,1,27,3,Male,82,2,1,1,Single,3407,6986,No,23,4,2,80,10,3,5,0
34,No,Research & Development,7,Life Sciences,1,28,1,Female,53,3,3,2,Single,11994,21293,No,11,3,3,80,13,3,12,2
21,No,Research & Development,15,Life Sciences,1,30,3,Male,96,3,1,4,Single,1232,19281,No,14,3,4,80,0,3,0,0
34,Yes,Research & Development,6,Medical,1,31,2,Male,83,3,1,1,Single,2960,17102,No,11,3,3,80,8,3,4,1
53,No,Research & Development,5,Other,1,32,3,Female,58,,5,3,Divorced,19094,10735,No,11,3,4,80,26,2,14,4
32,Yes,Research & Development,16,,1,33,2,Female,72,1,1,1,Single,3919,4681,Yes,22,4,2,80,10,3,10,6
42,No,Sales,8,Marketing,1,35,3,Male,48,3,2,2,Married,6825,21173,No,11,3,4,80,10,3,9,4
44,No,Research & Development,7,,1,36,1,Female,42,2,3,4,Married,10248,2094,No,14,3,4,80,24,3,22,5
46,No,Sales,2,Marketing,1,38,2,Female,83,3,5,,Single,18947,22822,No,,3,4,80,22,2,2,2
33,No,Research & Development,2,Medical,1,39,3,Male,78,3,1,4,Single,2496,6670,No,11,3,4,80,7,3,1,0
44,No,Research & Development,10,Other,1,40,4,Male,41,3,2,4,Married,6465,19121,Yes,13,3,4,80,9,4,4,1
30,No,Research & Development,9,Medical,1,41,4,Male,83,2,1,3,Single,2206,16117,No,13,3,1,80,10,3,10,1
39,Yes,Sales,5,Technical Degree,1,42,4,Male,56,3,2,4,Married,2086,3335,No,14,3,3,80,19,4,1,0
24,Yes,Research & Development,1,Medical,1,45,2,Male,61,3,1,4,Married,2293,3020,Yes,16,3,1,80,6,2,2,2
43,No,Research & Development,2,Medical,1,46,4,Female,72,4,1,3,Divorced,2645,21923,No,12,3,4,80,6,2,5,1
50,Yes,Sales,3,Marketing,1,47,1,Male,86,2,1,3,Married,2683,3810,Yes,14,3,3,80,3,3,3,0
35,No,Sales,2,Marketing,1,49,4,Female,97,3,1,4,Married,2014,9687,No,13,3,1,80,2,3,2,2
36,No,Research & Development,5,Life Sciences,1,51,2,Female,82,2,1,1,Married,3419,13072,Yes,14,3,4,80,6,4,1,0
33,No,Sales,1,Life Sciences,1,52,3,Female,42,4,2,1,Married,5376,3193,No,19,3,1,80,10,3,5,1
35,No,Research & Development,4,Other,1,53,3,Male,75,3,1,4,Divorced,1951,10910,No,12,3,3,80,1,3,1,0
27,No,Research & Development,2,Life Sciences,1,54,4,Female,33,3,1,1,Divorced,2341,19715,No,13,3,4,80,1,3,1,0
26,Yes,Research & Development,25,Life Sciences,1,55,1,Male,48,1,1,3,Single,2293,10558,No,12,3,3,80,1,2,1,0
27,No,Sales,8,Life Sciences,1,56,4,Male,37,3,3,3,Single,8726,2975,No,15,3,4,80,9,3,9,1
30,No,Research & Development,1,Medical,1,57,3,Female,58,3,2,4,Single,4011,10781,No,23,4,4,80,12,3,12,3
41,Yes,Research & Development,12,Technical Degree,1,58,2,Female,49,3,5,3,Married,19545,16280,No,12,3,4,80,23,3,22,15
34,No,Sales,23,Marketing,1,60,2,Male,72,3,2,3,Single,4568,10034,No,20,4,3,80,10,3,9,8
37,No,Research & Development,19,Life Sciences,1,61,2,Male,73,3,1,2,Married,3022,10227,No,21,4,1,80,8,3,1,0
46,No,Sales,5,Marketing,1,62,1,Male,98,3,2,4,Single,5772,20445,Yes,21,4,3,80,14,3,9,0
35,No,Research & Development,8,Life Sciences,1,63,4,Male,36,4,1,4,Married,2269,4892,No,19,3,4,80,1,3,1,0
48,Yes,Research & Development,1,Life Sciences,1,64,1,Male,98,2,3,,Single,5381,19294,Yes,13,3,4,80,23,3,1,0
28,Yes,Research & Development,5,Technical Degree,1,65,3,Male,50,3,1,3,Single,3441,11179,Yes,13,3,3,80,2,2,2,2
44,No,Sales,1,Marketing,1,68,2,Female,75,3,2,1,Divorced,5454,4009,Yes,21,4,3,80,9,2,4,1
35,No,Research & Development,11,Medical,1,70,3,Male,79,2,3,1,Married,9884,8302,Yes,13,3,3,80,10,3,4,2
26,No,Sales,23,Marketing,1,72,3,Female,47,2,2,4,Married,4157,21436,Yes,19,3,3,80,5,2,2,0
33,No,Research & Development,1,Life Sciences,1,73,1,Female,98,3,3,4,Single,13458,15146,Yes,12,3,3,80,15,3,15,8
35,No,Sales,18,Life Sciences,1,74,2,Male,71,3,3,1,Married,9069,11031,No,22,4,4,80,9,2,9,1
35,No,Research & Development,23,Medical,1,75,3,Female,30,3,1,1,Married,4014,16002,Yes,,3,3,80,4,3,2,2
31,No,Research & Development,7,Life Sciences,1,76,4,Male,48,3,2,4,Divorced,5915,9528,No,22,4,4,80,10,2,7,1
37,No,Research & Development,1,Life Sciences,1,77,1,Male,51,2,2,3,Divorced,5993,2689,No,18,3,3,80,7,4,7,0
32,No,Research & Development,1,Medical,1,78,1,Male,33,3,2,4,Married,6162,10877,Yes,22,4,2,80,9,3,9,7
38,No,Research & Development,29,Life Sciences,1,79,4,Female,50,3,2,4,Single,2406,5456,No,11,3,4,80,10,3,10,9
50,No,Research & Development,7,Medical,1,80,2,Female,43,2,5,3,Divorced,18740,16701,Yes,12,3,4,80,29,2,27,13
59,No,Sales,25,Life Sciences,1,81,1,Female,99,3,3,1,Single,7637,2354,No,11,3,4,80,28,2,21,7
36,No,Research & Development,8,Technical Degree,1,83,3,Female,59,3,3,3,Divorced,10096,8202,No,13,3,2,80,17,3,17,12
55,No,Research & Development,8,Medical,1,84,4,Female,33,3,4,3,Divorced,14756,19730,Yes,14,3,3,80,21,3,5,0
36,No,Research & Development,11,Life Sciences,1,85,2,Male,95,2,2,2,Single,6499,22656,No,13,3,3,80,6,3,6,0
45,No,Research & Development,7,Life Sciences,1,86,2,Male,59,3,3,1,Divorced,9724,18787,No,17,3,3,80,25,3,1,0
35,No,Research & Development,1,Medical,1,88,2,Male,79,3,1,1,Married,2194,5868,No,13,3,4,80,5,2,3,1
36,Yes,Research & Development,9,Medical,1,90,4,Male,79,2,1,3,Married,3388,21777,Yes,17,3,1,80,2,2,1,0
59,No,Sales,1,Life Sciences,1,91,1,Female,57,2,2,3,Single,5473,24668,No,11,3,4,80,20,2,4,1
29,No,Research & Development,2,Life Sciences,1,94,3,Male,76,3,1,2,Married,2703,4956,No,23,4,4,80,6,3,5,0
31,No,Research & Development,1,Medical,1,95,3,Male,87,3,1,2,Single,2501,18775,No,17,3,2,80,1,3,1,1
32,No,Research & Development,1,Life Sciences,1,96,2,Male,66,3,2,2,Married,6220,7346,No,17,3,2,80,10,3,10,0
36,No,Research & Development,6,Life Sciences,1,97,2,Female,55,4,1,4,Married,3038,22002,No,12,3,2,80,5,3,1,0
31,No,Research & Development,8,Life Sciences,1,98,3,Female,61,3,2,,Single,4424,20682,No,23,4,4,80,11,3,11,1
35,No,Sales,1,Marketing,1,100,3,Male,32,2,2,1,Single,4312,23016,No,14,3,2,80,16,3,15,2
45,No,Research & Development,6,Other,1,101,4,Male,52,3,3,1,Married,13245,15067,Yes,14,3,2,80,17,4,0,0
37,No,Research & Development,7,Medical,1,102,1,Male,30,3,3,3,Single,13664,25258,No,13,3,1,80,16,4,5,0
46,No,Human Resources,5,Medical,1,103,2,Male,80,3,2,2,Divorced,5021,10425,Yes,22,4,4,80,16,3,4,0
30,No,Research & Development,1,Life Sciences,1,104,4,Male,55,2,2,4,Married,5126,15998,Yes,12,3,3,80,10,2,10,3
35,No,Research & Development,1,Medical,1,105,2,Male,30,2,1,3,Single,2859,26278,No,18,3,1,80,6,3,6,0
55,No,Sales,1,Life Sciences,1,106,1,Male,70,3,3,4,Married,10239,18092,No,14,3,4,80,24,3,1,1
38,No,Research & Development,6,Medical,1,107,2,Female,79,1,2,4,Divorced,5329,15717,Yes,12,3,4,80,17,3,13,1
34,No,Research & Development,1,Medical,1,110,1,Male,94,3,2,2,Married,4325,17736,No,,3,3,80,5,3,5,1
56,No,Research & Development,7,Life Sciences,1,112,4,Male,49,1,3,4,Single,7260,21698,No,11,3,1,80,37,2,6,0
23,No,Sales,2,Technical Degree,1,113,3,Male,62,3,1,1,Divorced,2322,9518,No,13,3,3,80,3,3,0,0
51,No,Research & Development,9,Life Sciences,1,116,4,Male,96,,1,4,Married,2075,18725,No,23,4,2,80,10,3,4,0
30,No,Research & Development,2,Life Sciences,1,117,3,Male,99,2,2,4,Married,4152,15830,No,19,3,1,80,11,3,11,10
46,Yes,Sales,9,Medical,1,118,3,Male,64,2,3,4,Single,9619,13596,No,16,3,4,80,9,3,9,4
40,No,Research & Development,1,Life Sciences,1,119,3,Male,78,2,4,2,Married,13503,14115,No,22,4,4,80,22,2,22,11
51,No,Sales,21,Marketing,1,120,3,Male,71,3,2,4,Single,5441,8423,Yes,22,4,4,80,11,1,10,1
30,No,Sales,4,Medical,1,121,3,Female,63,2,2,2,Divorced,5209,19760,Yes,12,3,2,80,11,2,11,2
46,No,Research & Development,1,Medical,1,124,3,Male,40,2,3,1,Married,10673,3142,Yes,13,3,3,80,21,2,10,9
32,No,Sales,6,Medical,1,125,2,Male,87,3,2,,Single,5010,24301,No,16,3,1,80,12,3,11,5
54,No,Research & Development,2,Technical Degree,1,126,1,Female,60,3,3,3,Married,13549,24001,No,12,3,1,80,16,1,4,0
24,No,Sales,3,Other,1,128,1,Female,33,3,2,3,Married,4999,17519,No,21,4,1,80,4,2,3,0
28,No,Sales,4,Medical,1,129,2,Male,43,3,2,3,Married,4221,8863,No,15,3,2,80,5,4,5,0
58,No,Sales,10,Medical,1,131,4,Male,37,3,4,3,Single,13872,24409,No,13,3,3,80,38,2,37,1
44,No,Research & Development,23,Medical,1,132,2,Male,67,3,2,2,Married,2042,25043,No,12,3,3,80,17,4,3,1
37,Yes,Human Resources,6,Human Resources,1,133,3,Male,63,3,1,1,Divorced,2073,23648,Yes,22,4,4,80,7,3,3,0
32,No,Research & Development,1,Life Sciences,1,134,4,Male,71,3,1,1,Single,2956,15178,No,13,3,4,80,1,3,1,0
20,Yes,Research & Development,6,Life Sciences,1,137,4,Female,66,2,1,4,Single,2926,19783,Yes,18,3,2,80,1,3,1,1
34,No,Research & Development,6,Other,1,138,1,Female,41,3,2,3,Single,4809,12482,No,14,3,3,80,16,3,16,2
37,No,Research & Development,2,Life Sciences,1,139,3,Male,100,2,2,4,Divorced,5163,15850,No,14,3,4,80,17,4,1,0
59,No,Human Resources,2,Human Resources,1,140,3,Female,32,2,5,4,Married,18844,21922,No,21,4,4,80,30,3,3,2
50,No,Research & Development,1,Life Sciences,1,141,1,Female,73,3,5,2,Married,18172,9755,Yes,19,3,1,80,28,2,8,0
25,Yes,Sales,5,Marketing,1,142,3,Male,46,2,2,3,Single,5744,26959,Yes,,3,4,80,6,3,6,0
25,No,Research & Development,7,Medical,1,143,4,Male,64,2,1,4,Married,2889,26897,No,11,3,3,80,2,3,2,2
22,No,Research & Development,15,Medical,1,144,2,Female,59,3,1,4,Single,2871,23785,No,15,3,3,80,1,3,0,0
51,No,Research & Development,1,Medical,1,145,1,Female,30,2,3,1,Single,7484,25796,No,20,4,3,80,23,2,13,12
34,Yes,Research & Development,7,,1,147,1,Male,66,1,2,3,Single,6074,22887,Yes,24,4,4,80,9,3,9,0
54,No,Human Resources,26,Human Resources,1,148,4,Female,30,4,4,4,Single,17328,13871,Yes,12,3,3,80,23,3,5,4
24,No,Research & Development,18,Life Sciences,1,150,2,Male,52,3,1,3,Married,2774,13257,No,12,3,3,80,6,3,5,1
34,No,Research & Development,6,,1,151,3,Female,45,2,2,2,Divorced,4505,15000,No,15,3,3,80,12,3,1,0
37,No,,3,Life Sciences,1,152,3,Male,87,3,3,4,Single,7428,14506,No,12,3,1,80,12,3,5,1
34,No,Research & Development,5,,1,,3,Female,45,2,3,1,Single,11631,5615,No,12,3,4,80,14,3,11,5
36,No,Sales,11,Technical Degree,1,154,2,Female,92,3,3,4,Married,9738,22952,No,14,3,3,80,10,3,9,2
36,No,Research & Development,3,Life Sciences,1,,1,Female,39,3,1,4,Divorced,2835,2561,No,22,4,1,80,7,3,1,0
43,No,,26,Life Sciences,1,158,3,Male,92,3,4,,Married,16959,19494,Yes,12,3,4,80,25,4,25,4
30,No,Research & Development,23,Life Sciences,1,159,1,Male,96,1,1,3,Divorced,2613,22310,No,25,4,3,80,10,2,10,0
33,No,Sales,22,Marketing,1,160,3,Male,95,3,2,2,Married,6146,15480,No,13,3,1,80,8,4,7,0
56,Yes,Research & Development,14,Life Sciences,1,161,2,Female,72,3,1,2,Married,4963,4510,Yes,18,3,1,80,7,3,5,4
51,No,Research & Development,6,Life Sciences,1,162,1,Male,51,3,5,3,Single,19537,6462,No,13,3,3,80,23,3,20,15
31,Yes,Sales,6,Life Sciences,1,163,2,Male,76,1,2,3,Married,6172,20739,Yes,18,3,2,80,12,2,7,7
26,No,Research & Development,6,Other,1,164,3,Female,46,2,1,2,Married,2368,23300,No,19,3,3,80,5,2,5,4
58,Yes,Research & Development,23,Medical,1,165,4,Female,94,3,3,4,Married,10312,3465,No,12,3,4,80,40,2,40,15
19,Yes,Sales,22,Marketing,1,167,4,Male,50,3,1,3,Single,1675,26820,Yes,19,3,4,80,0,2,0,0
22,No,Research & Development,2,Technical Degree,1,169,3,Male,100,3,1,4,Married,2523,19299,No,14,3,3,80,3,3,2,2
49,No,Research & Development,20,Medical,1,170,3,Female,96,3,2,1,Married,6567,5549,No,14,3,3,80,16,2,15,5
43,No,Research & Development,28,Medical,1,171,2,Female,72,4,1,3,Single,4739,16090,No,12,3,4,80,18,3,3,1
50,No,Sales,12,Marketing,1,174,3,Female,77,3,3,4,Single,9208,6645,No,11,3,4,80,16,3,2,2
31,Yes,Sales,20,Life Sciences,1,175,2,Female,71,1,2,3,Married,4559,24788,Yes,,3,3,80,4,3,2,2
41,No,Sales,9,Life Sciences,1,176,3,Male,96,3,3,3,Divorced,8189,21196,Yes,13,3,3,80,12,3,9,0
26,No,Human Resources,25,Life Sciences,1,177,3,Female,61,3,1,3,Married,2942,8916,No,23,4,4,80,8,3,8,5
36,No,Research & Development,6,Medical,1,178,2,Male,84,3,2,2,Divorced,4941,2819,No,20,4,4,80,7,3,3,0
51,Yes,Research & Development,8,Life Sciences,1,179,1,Male,53,1,3,4,Single,10650,25150,No,15,3,4,80,18,3,4,0
39,No,Sales,4,Life Sciences,1,182,4,Female,47,2,2,3,Married,5902,14590,No,14,3,3,80,17,4,15,5
25,No,Sales,28,Life Sciences,1,183,1,Male,41,2,2,3,Married,8639,24835,No,18,3,4,80,6,3,2,2
30,No,Human Resources,9,Human Resources,1,184,3,Male,48,3,2,4,Married,6347,13982,Yes,19,3,4,80,12,1,11,4
32,Yes,Research & Development,9,Medical,1,190,1,Female,41,3,1,1,Single,4200,10224,No,22,4,1,80,10,4,5,0
45,No,Research & Development,29,Medical,1,192,3,Male,83,3,1,4,Single,3452,9752,No,13,3,2,80,9,2,6,0
38,No,Research & Development,3,Technical Degree,1,193,4,Female,32,3,2,3,Single,4317,2302,Yes,20,4,2,80,19,3,3,2
30,No,Research & Development,18,Life Sciences,1,194,1,Female,75,3,1,3,Single,2632,23910,No,14,3,3,80,5,2,5,0
32,No,Sales,9,Medical,1,195,4,Male,35,1,2,4,Divorced,4668,22812,No,17,3,4,80,9,4,8,0
30,No,Research & Development,5,Technical Degree,1,197,4,Female,84,3,1,1,Divorced,3204,10415,No,14,3,4,80,8,3,3,2
30,No,Research & Development,2,Medical,1,198,2,Male,35,2,1,4,Single,2720,11162,No,13,3,4,80,6,3,5,1
41,No,Research & Development,10,Life Sciences,1,199,4,Male,91,2,4,1,Divorced,17181,12888,No,13,3,2,80,21,2,7,7
41,No,Research & Development,9,Life Sciences,1,200,3,Male,94,3,1,,Married,2238,6961,No,21,4,4,80,7,3,5,1
19,No,Research & Development,3,Medical,1,201,2,Female,79,3,1,2,Single,1483,16102,No,14,3,4,80,1,3,1,0
40,No,Research & Development,26,Medical,1,202,2,Female,54,3,2,2,Divorced,5605,8504,No,11,3,1,80,20,3,20,2
35,No,Sales,1,Marketing,1,204,3,Male,94,3,3,2,Married,7295,11439,No,13,3,1,80,10,3,10,0
53,No,Sales,6,Marketing,1,205,2,Male,34,3,2,3,Married,2306,16047,Yes,20,4,4,80,13,1,7,4
45,No,Research & Development,9,Life Sciences,1,206,2,Male,60,3,2,2,Divorced,2348,10901,No,18,3,3,80,20,1,17,0
32,No,Sales,8,Marketing,1,207,2,Female,43,3,3,4,Single,8998,15589,No,14,3,4,80,9,3,9,3
29,No,Research & Development,1,Technical Degree,1,208,4,Male,41,3,2,3,Married,4319,26283,No,13,3,1,80,10,3,10,0
51,No,Research & Development,7,Medical,1,211,2,Male,34,2,2,3,Married,6132,13983,No,17,3,3,80,10,3,1,0
58,No,Research & Development,9,Medical,1,214,2,Female,75,2,1,2,Married,3346,11873,Yes,20,4,2,80,9,2,1,0
40,No,Sales,4,Marketing,1,215,3,Male,67,2,3,4,Married,10855,8552,No,11,3,1,80,15,2,12,2
34,No,Sales,2,Marketing,1,216,3,Female,75,3,1,3,Married,2231,11314,No,18,3,4,80,6,3,4,1
22,No,Research & Development,19,Medical,1,217,3,Male,80,3,1,4,Married,2323,11992,No,24,4,1,80,2,3,2,2
27,No,Research & Development,9,Medical,1,218,4,Male,57,3,1,2,Divorced,2024,5970,No,18,3,4,80,6,1,2,2
28,No,Research & Development,21,Medical,1,221,3,Male,42,3,1,4,Married,2713,6672,No,11,3,3,80,5,1,5,0
57,No,Research & Development,24,Life Sciences,1,223,3,Male,83,4,3,4,Divorced,9439,23402,Yes,16,3,2,80,12,1,5,1
27,No,Research & Development,3,Medical,1,224,3,Male,79,2,1,3,Divorced,2566,25326,Yes,15,3,4,80,1,2,1,0
50,No,Research & Development,11,Life Sciences,1,226,3,Female,53,3,5,2,Single,19926,17053,No,15,3,2,80,21,3,5,4
41,No,Research & Development,14,Life Sciences,1,227,1,Male,56,3,1,3,Divorced,2451,4609,No,12,3,1,80,13,3,9,1
30,No,Sales,5,Life Sciences,1,228,2,Female,41,3,3,4,Married,9419,8053,No,12,3,3,80,12,3,10,7
38,No,Sales,1,Life Sciences,1,230,1,Female,59,2,2,,Single,8686,12930,No,22,4,3,80,12,4,8,0
32,No,Research & Development,6,Life Sciences,1,231,3,Male,43,3,1,3,Single,3038,12430,No,20,4,1,80,8,3,5,1
27,No,Research & Development,17,Technical Degree,1,233,3,Male,51,3,1,2,Married,3058,13364,Yes,16,3,4,80,6,2,5,1
19,Yes,Sales,1,Technical Degree,1,235,3,Female,100,1,1,1,Single,2325,20989,No,21,4,1,80,1,4,0,0
36,No,Research & Development,3,Medical,1,238,4,Male,30,3,1,2,Single,2088,15062,No,12,3,3,80,13,2,8,7
30,No,Research & Development,9,Medical,1,239,3,Male,66,3,2,1,Divorced,3072,11012,No,11,3,3,80,12,3,12,6
45,No,Sales,4,Life Sciences,1,240,3,Female,30,3,2,1,Divorced,5006,6319,Yes,11,3,1,80,9,4,5,0
56,No,Research & Development,8,Life Sciences,1,241,3,Female,67,3,1,1,Divorced,4257,13939,Yes,18,3,3,80,19,3,2,2
33,No,Research & Development,2,Life Sciences,1,242,3,Male,90,3,1,4,Single,2500,10515,No,14,3,1,80,4,4,3,0
19,Yes,Research & Development,2,Life Sciences,1,243,2,Male,47,2,1,4,Single,1102,9241,No,22,4,3,80,1,2,1,1
46,No,Sales,1,Marketing,1,244,2,Female,92,3,3,1,Divorced,10453,2137,No,25,4,3,80,24,3,24,15
38,No,Research & Development,9,Life Sciences,1,245,3,Female,75,3,1,4,Single,2288,6319,No,12,3,3,80,2,3,2,2
31,No,Research & Development,12,Medical,1,246,3,Female,95,3,1,4,Married,3929,6984,Yes,23,4,3,80,7,3,4,0
34,No,Research & Development,27,Medical,1,247,4,Female,95,3,1,2,Single,2311,5711,No,15,3,4,80,9,3,3,1
41,Yes,Sales,20,Marketing,1,248,2,Female,70,3,1,2,Single,3140,21728,Yes,22,4,4,80,4,2,4,0
50,No,Research & Development,1,Medical,1,249,3,Male,86,2,1,3,Married,3690,3425,No,15,3,4,80,5,2,3,0
53,No,Research & Development,13,Medical,1,250,4,Female,57,4,2,1,Divorced,4450,26250,No,11,3,3,80,5,3,4,1
33,No,Research & Development,14,Medical,1,252,4,Female,72,3,1,2,Married,2756,4673,No,13,3,4,80,8,3,8,1
40,No,Research & Development,4,Medical,1,253,4,Female,46,3,5,3,Married,19033,6499,No,14,3,2,80,21,3,20,9
55,No,Research & Development,14,Medical,1,254,3,Male,61,4,5,2,Single,18722,13339,No,11,3,4,80,36,3,24,2
34,No,Research & Development,2,Life Sciences,1,256,4,Male,45,2,2,3,Married,9547,14074,No,17,3,3,80,10,2,10,1
51,No,Research & Development,3,Medical,1,258,4,Female,98,3,4,2,Single,13734,7192,No,18,3,3,80,21,3,7,1
52,No,Research & Development,1,Life Sciences,1,259,3,Male,65,2,5,3,Married,19999,5678,No,14,3,1,80,34,3,33,11
27,No,Research & Development,9,Medical,1,260,4,Female,99,3,1,2,Single,2279,11781,No,16,3,4,80,7,2,7,0
35,Yes,Research & Development,23,Life Sciences,1,261,2,Male,50,2,2,3,Married,5916,15497,Yes,13,3,1,80,8,3,1,0
43,No,Research & Development,7,Medical,1,262,4,Male,37,4,1,4,Divorced,2089,5228,No,14,3,4,80,7,4,5,2
45,No,Research & Development,2,Medical,1,264,1,Male,65,2,4,,Married,16792,20462,No,23,4,4,80,22,3,20,11
37,No,Research & Development,21,Life Sciences,1,267,2,Male,65,4,1,1,Married,3564,22977,Yes,12,3,1,80,8,2,8,1
35,No,Research & Development,2,,1,269,2,Female,37,3,2,2,Single,4425,15986,No,11,3,4,80,10,3,6,1
42,No,Research & Development,21,Medical,1,270,3,Female,36,3,2,3,Divorced,5265,16439,No,16,3,2,80,11,3,5,0
38,No,Research & Development,2,Life Sciences,1,271,4,Male,88,3,2,3,Married,6553,7259,No,14,3,2,80,14,3,1,0
38,No,Research & Development,29,Technical Degree,1,273,4,Male,54,3,2,4,Married,6261,4185,No,18,3,1,80,9,1,7,1
27,No,Research & Development,1,Technical Degree,1,274,3,Male,60,2,2,1,Married,4298,9679,No,19,3,3,80,6,3,2,2
49,No,Research & Development,18,Life Sciences,1,275,4,Male,92,3,2,4,Divorced,6804,23793,Yes,15,3,1,80,7,3,7,1
34,No,Research & Development,10,Medical,1,277,4,Male,43,3,1,3,Divorced,3815,5972,Yes,17,3,4,80,5,4,5,2
40,No,Research & Development,19,Medical,1,281,3,Male,99,3,2,4,Married,2741,16523,Yes,15,3,3,80,15,4,7,3
38,Yes,Research & Development,29,Medical,1,282,2,Male,70,3,2,1,Married,6673,11354,Yes,19,3,2,80,17,3,1,0
29,Yes,Sales,27,Marketing,1,283,2,Female,35,,3,4,Married,7639,24525,No,22,4,4,80,10,2,10,1
22,No,Research & Development,5,Life Sciences,1,284,4,Male,60,4,1,2,Divorced,2328,12392,Yes,16,3,1,80,4,2,4,2
36,No,Research & Development,18,Medical,1,286,2,Female,73,3,1,4,Single,2153,7703,No,13,3,1,80,8,3,8,1
40,No,Research & Development,9,Life Sciences,1,287,4,Male,63,,2,4,Married,4876,14242,No,14,3,4,80,5,1,3,0
46,No,Research & Development,1,Medical,1,288,4,Male,97,3,3,1,Divorced,9396,12368,No,16,3,3,80,17,3,4,0
32,Yes,Sales,4,Medical,1,291,4,Male,32,1,3,4,Married,10400,25812,No,11,3,3,80,14,2,14,9
30,No,Research & Development,1,Life Sciences,1,292,3,Male,88,2,3,3,Single,8474,20925,No,22,4,3,80,12,3,11,5
27,No,Sales,20,Life Sciences,1,293,4,Female,90,3,2,3,Single,9981,12916,No,14,3,4,80,7,3,7,0
51,No,Research & Development,8,Life Sciences,1,296,2,Male,81,,3,2,Married,12490,15736,No,16,3,4,80,16,1,10,4
30,Yes,Research & Development,3,Technical Degree,1,297,4,Female,88,3,1,1,Single,2657,8556,Yes,11,3,3,80,8,3,5,0
41,No,Sales,6,Life Sciences,1,298,4,Female,75,3,3,,Single,13591,14674,Yes,18,3,3,80,16,3,1,0
30,Yes,Sales,26,Marketing,1,299,3,Female,52,,2,1,Single,6696,22967,No,15,3,3,80,9,2,6,0
29,Yes,Research & Development,1,Technical Degree,1,300,3,Male,85,3,1,3,Single,2058,19757,No,14,3,4,80,7,2,6,1
45,No,Sales,6,Medical,1,302,4,Female,57,2,3,4,Single,8865,16840,No,12,3,4,80,23,3,19,12
